Results Table 1
,Genotype,Plant Number,Plot Number,Whorl Number (use field-based numbering - top down),Root Sample Number,Vertical Specimen Diameter,Horizontal Specimen Diameter,Specimen Length,Force at Break (Standard),Displacement at Break (Standard),Flexure displacement at Break (Standard),Maximum Force,Flexure displacement at Maximum Force,Maximum Slope (Automatic)
,,,,,,(mm),(mm),(mm),(N),(mm),(mm),(N),(mm),(N/mm)
"1","B73","1","345","","","21.24","25.22","300.00","98.69","80.61","29.93","185.34","7.67","59.56"
"2","B73","6","345","","","24.38","27.71","300.00","188.83","78.28","29.87","248.92","10.64","57.21"
"3","B73","2","345","","","17.92","21.31","300.00","55.03","49.85","29.96","114.27","6.71","39.30"
"4","B73","3","345","","","19.31","22.75","300.00","65.37","48.27","29.87","131.19","7.55","47.13"
"5","B73","3","347","","","22.18","26.36","300.00","118.03","44.72","29.87","188.25","7.58","55.45"
"6","B73","1","347","","","23.18","26.43","300.00","153.74","46.39","29.96","218.64","8.12","58.17"
"7","B73","2","347","","","18.22","22.15","300.00","80.78","48.28","29.87","161.80","7.49","52.31"
"8","B73","4","347","","","23.02","27.84","300.00","130.86","44.02","29.87","202.86","8.87","59.26"
"9","B73","7","347","","","21.72","25.82","300.00","114.22","45.90","29.87","182.16","7.31","51.74"
"10","CML258","6","226","","","22.20","25.36","300.00","122.43","45.21","29.85","206.23","7.35","55.54"
"11","CML258","1","226","","","23.88","28.82","300.00","167.88","44.21","29.87","298.60","10.55","76.73"
"12","CML258","2","226","","","20.25","23.72","300.00","89.14","48.10","29.85","162.96","8.13","47.59"
"13","CML258","12","226","","","17.15","19.71","300.00","48.73","50.55","29.87","103.68","7.25","30.06"
"14","CML258","9","226","","","23.87","27.55","300.00","259.78","43.94","29.87","348.08","9.20","76.74"
"15","CML258","1","228","","","21.27","24.80","300.00","105.52","46.38","29.87","217.05","9.08","59.46"
"16","CML258","2","228","","","21.94","24.12","300.00","164.49","46.11","30.00","206.82","7.67","56.95"
"17","CML258","3","228","","","18.53","19.77","300.00","55.81","49.41","29.87","110.81","5.99","36.19"
"18","CML258","4","228","","","23.37","27.80","300.00","201.36","44.69","30.00","289.72","10.91","74.61"
"19","CML258","5","228","","","18.02","20.83","300.00","60.26","50.06","29.87","78.87","6.77","25.00"
"20","CML258","6","228","","","24.12","27.58","300.00","175.36","43.29","29.87","321.62","8.93","84.45"
"21","CML258","7","228","","","24.93","28.28","300.00","201.38","43.90","29.99","298.50","9.08","78.54"
"22","CML258","10","228","","","20.32","22.47","300.00","97.06","46.95","29.96","170.31","6.80","51.37"
"23","CML258","11","228","","","21.80","24.92","300.00","118.14","45.37","29.87","234.11","5.84","72.15"
"24","Mo17","10","446","","","13.90","17.90","300.00","30.96","54.61","29.87","67.10","8.78","19.39"
"25","Mo17","11","446","","","16.65","20.73","300.00","91.16","49.33","29.93","130.97","11.66","30.54"
"26","Mo17","1","446","","","15.86","20.68","300.00","78.61","51.09","29.87","130.89","9.05","35.27"
"27","Mo17","12","446","","","16.05","19.54","300.00","57.84","51.75","29.87","102.37","7.61","30.92"
"28","Mo17","4","446","","","14.80","18.36","300.00","47.78","55.38","29.87","82.49","8.63","23.63"
"29","Mo17","14","446","","","15.56","20.03","300.00","62.67","52.34","29.87","108.33","8.90","29.67"
"30","Mo17","9","446","","","15.00","18.66","300.00","45.45","54.68","29.87","88.66","8.15","26.38"
"31","Mo17","4","448","","","19.11","21.70","300.00","119.79","50.39","29.96","144.11","9.56","31.46"
"32","Mo17","3","448","","","19.45","25.94","300.00","221.97","48.32","29.87","231.44","18.71","47.22"
"33","Mo17","7","448","","","18.68","24.05","300.00","148.47","49.62","30.00","180.67","10.85","46.15"
"34","Mo17","1","448","","","20.53","23.60","300.00","298.54","38.11","18.32","298.54","18.32","46.52"

1,Time,Displacement,Force,Flexure displacement
,(s),(mm),(N),(mm)
"","0.0000","50.6757","0.3578","0.0000"
"","0.0200","50.6759","0.3716","0.0002"
"","0.0400","50.6806","0.6694","0.0049"
"","0.0600","50.7003","1.9500","0.0245"
"","0.0800","50.7329","4.1947","0.0572"
"","0.1000","50.7672","6.6368","0.0914"
"","0.1200","50.7978","8.8719","0.1220"
"","0.1400","50.8260","10.9616","0.1503"
"","0.1600","50.8544","13.0691","0.1787"
"","0.1800","50.8837","15.2272","0.2080"
"","0.2000","50.9128","17.3542","0.2371"
"","0.2200","50.9417","19.4297","0.2660"
"","0.2400","50.9708","21.4996","0.2951"
"","0.2600","51.0006","23.4741","0.3249"
"","0.2800","51.0306","25.3577","0.3549"
"","0.3000","51.0603","27.2880","0.3845"
"","0.3200","51.0902","29.2499","0.4144"
"","0.3400","51.1201","31.2087","0.4443"
"","0.3600","51.1496","33.1202","0.4738"
"","0.3800","51.1795","35.0164","0.5037"
"","0.4000","51.2096","36.8999","0.5339"
"","0.4200","51.2394","38.7084","0.5637"
"","0.4400","51.2687","40.4880","0.5930"
"","0.4600","51.2984","42.3162","0.6227"
"","0.4800","51.3286","44.1649","0.6528"
"","0.5000","51.3586","45.9410","0.6828"
"","0.5200","51.3889","47.6492","0.7131"
"","0.5400","51.4191","49.3490","0.7434"
"","0.5600","51.4489","50.9627","0.7732"
"","0.5800","51.4787","52.5592","0.8030"
"","0.6000","51.5089","54.2672","0.8332"
"","0.6200","51.5389","56.0343","0.8632"
"","0.6400","51.5684","57.7581","0.8927"
"","0.6600","51.5980","59.4631","0.9223"
"","0.6800","51.6281","61.1714","0.9524"
"","0.7000","51.6586","62.8586","0.9829"
"","0.7200","51.6891","64.5146","1.0134"
"","0.7400","51.7191","66.1011","1.0434"
"","0.7600","51.7484","67.6118","1.0727"
"","0.7800","51.7780","69.1045","1.1023"
"","0.8000","51.8082","70.6255","1.1324"
"","0.8200","51.8381","72.1132","1.1624"
"","0.8400","51.8681","73.5897","1.1924"
"","0.8600","51.8982","75.0370","1.2225"
"","0.8800","51.9282","76.4488","1.2524"
"","0.9000","51.9583","77.8521","1.2826"
"","0.9200","51.9885","79.2507","1.3127"
"","0.9400","52.0186","80.6581","1.3429"
"","0.9600","52.0486","82.0456","1.3728"
"","0.9800","52.0785","83.4302","1.4027"
"","1.0000","52.1084","84.8082","1.4326"
"","1.0200","52.1382","86.1630","1.4625"
"","1.0400","52.1684","87.5109","1.4926"
"","1.0600","52.1984","88.8167","1.5227"
"","1.0800","52.2282","90.0915","1.5525"
"","1.1000","52.2583","91.3404","1.5825"
"","1.1200","52.2888","92.5615","1.6131"
"","1.1400","52.3190","93.7103","1.6433"
"","1.1600","52.3485","94.7967","1.6727"
"","1.1800","52.3781","95.9073","1.7023"
"","1.2000","52.4079","97.0281","1.7321"
"","1.2200","52.4380","98.1422","1.7622"
"","1.2400","52.4684","99.2784","1.7927"
"","1.2600","52.4988","100.4250","1.8230"
"","1.2800","52.5285","101.5725","1.8528"
"","1.3000","52.5582","102.7574","1.8825"
"","1.3200","52.5885","103.9627","1.9128"
"","1.3400","52.6189","105.1543","1.9432"
"","1.3600","52.6490","106.2953","1.9732"
"","1.3800","52.6788","107.3947","2.0030"
"","1.4000","52.7085","108.4962","2.0328"
"","1.4200","52.7384","109.6102","2.0627"
"","1.4400","52.7685","110.7327","2.0927"
"","1.4600","52.7988","111.8602","2.1231"
"","1.4800","52.8285","112.8925","2.1528"
"","1.5000","52.8581","113.9174","2.1824"
"","1.5200","52.8886","114.9929","2.2129"
"","1.5400","52.9191","115.9778","2.2434"
"","1.5600","52.9489","116.8959","2.2732"
"","1.5800","52.9783","117.8745","2.3026"
"","1.6000","53.0081","118.9046","2.3323"
"","1.6200","53.0381","119.9185","2.3624"
