Results Table 1
,Genotype,Plant Number,Plot Number,Whorl Number (use field-based numbering - top down),Root Sample Number,Vertical Specimen Diameter,Horizontal Specimen Diameter,Specimen Length,Force at Break (Standard),Displacement at Break (Standard),Flexure displacement at Break (Standard),Maximum Force,Flexure displacement at Maximum Force,Maximum Slope (Automatic)
,,,,,,(mm),(mm),(mm),(N),(mm),(mm),(N),(mm),(N/mm)
"1","CML258","7","234","","","26.48","30.26","300.00","524.57","12.49","4.90","524.57","4.90","144.45"
"2","CML258","7","234","","","26.48","30.26","300.00","523.75","5.32","4.74","523.75","4.74","146.35"
"3","CML258","3","234","","","23.68","27.92","300.00","187.65","30.86","29.85","366.10","7.38","111.39"
"4","CML258","8","234","","","23.31","26.82","300.00","156.85","30.93","29.87","350.65","7.67","110.57"
"5","CML258","10","234","","","24.55","28.01","300.00","242.61","29.69","29.93","364.89","8.06","108.74"
"6","CML258","12","234","","","21.38","25.14","300.00","118.95","32.45","29.87","284.30","7.43","93.55"
"7","CML258","9","234","","","23.61","26.66","300.00","158.14","30.20","29.87","304.88","6.74","101.35"
"8","CML258","5","234","","","22.74","26.80","300.00","151.05","30.73","29.87","318.16","7.25","101.24"
"9","CML258","2","234","","","21.75","24.62","300.00","119.52","32.39","29.87","277.88","5.93","100.48"
"10","CML258","4","234","","","19.04","21.93","300.00","94.28","35.20","29.87","169.88","7.22","47.67"
"11","CML258","11","234","","","17.79","20.00","300.00","51.43","36.00","29.87","131.91","4.46","52.03"
"12","CML258","1","234","","","27.23","31.28","300.00","524.05","3.81","5.04","524.05","5.04","151.23"
"13","CML258","1","236","","","28.32","32.83","300.00","522.21","0.75","4.43","522.21","4.43","148.81"
"14","CML258","2","236","","","21.98","25.89","300.00","158.66","32.83","29.87","340.29","6.71","110.82"
"15","CML258","3","236","","","23.67","28.13","300.00","230.52","29.41","29.87","389.39","8.24","105.04"
"16","CML258","4","236","","","22.67","25.44","300.00","216.01","32.47","30.00","372.89","7.85","96.64"
"17","CML258","5","236","","","21.84","24.83","300.00","137.23","31.93","29.87","322.60","7.34","94.78"
"18","CML258","7","236","","","24.84","29.71","300.00","524.11","4.89","5.99","524.11","5.99","147.94"

1,Time,Displacement,Force,Flexure displacement
,(s),(mm),(N),(mm)
"","0.0000","7.5871","0.1722","0.0000"
"","0.0200","7.5873","0.1771","0.0001"
"","0.0400","7.5916","0.2402","0.0044"
"","0.0600","7.6107","0.4303","0.0235"
"","0.0800","7.6438","0.8166","0.0567"
"","0.1000","7.6784","1.3543","0.0912"
"","0.1200","7.7086","2.0137","0.1215"
"","0.1400","7.7367","2.8644","0.1496"
"","0.1600","7.7651","4.1550","0.1779"
"","0.1800","7.7940","6.6109","0.2068"
"","0.2000","7.8231","10.1673","0.2360"
"","0.2200","7.8518","14.2085","0.2647"
"","0.2400","7.8807","18.4947","0.2936"
"","0.2600","7.9109","23.0456","0.3237"
"","0.2800","7.9412","27.6564","0.3540"
"","0.3000","7.9709","32.2167","0.3838"
"","0.3200","8.0005","36.7825","0.4134"
"","0.3400","8.0299","41.3417","0.4427"
"","0.3600","8.0592","45.8899","0.4720"
"","0.3800","8.0887","50.4833","0.5016"
"","0.4000","8.1187","55.1228","0.5316"
"","0.4200","8.1486","59.6858","0.5614"
"","0.4400","8.1781","64.1359","0.5909"
"","0.4600","8.2080","68.5481","0.6209"
"","0.4800","8.2383","72.7917","0.6512"
"","0.5000","8.2680","76.8297","0.6808"
"","0.5200","8.2978","80.9863","0.7107"
"","0.5400","8.3282","85.2796","0.7410"
"","0.5600","8.3581","89.5183","0.7710"
"","0.5800","8.3883","93.7602","0.8011"
"","0.6000","8.4184","97.9495","0.8313"
"","0.6200","8.4483","102.0529","0.8612"
"","0.6400","8.4778","106.0407","0.8906"
"","0.6600","8.5075","110.0455","0.9203"
"","0.6800","8.5380","114.1321","0.9508"
"","0.7000","8.5683","118.1183","0.9812"
"","0.7200","8.5985","122.0045","1.0113"
"","0.7400","8.6286","125.9248","1.0415"
"","0.7600","8.6585","129.8534","1.0713"
"","0.7800","8.6883","133.7980","1.1012"
"","0.8000","8.7187","137.8329","1.1315"
"","0.8200","8.7490","141.8177","1.1619"
"","0.8400","8.7784","145.5849","1.1913"
"","0.8600","8.8078","149.3380","1.2206"
"","0.8800","8.8378","153.1718","1.2506"
"","0.9000","8.8679","156.9821","1.2808"
"","0.9200","8.8983","160.8405","1.3112"
"","0.9400","8.9286","164.6690","1.3415"
"","0.9600","8.9588","168.4626","1.3716"
"","0.9800","8.9889","172.2278","1.4017"
"","1.0000","9.0191","176.0219","1.4320"
"","1.0200","9.0490","179.7576","1.4619"
"","1.0400","9.0784","183.3971","1.4913"
"","1.0600","9.1078","187.0374","1.5206"
"","1.0800","9.1379","190.7808","1.5507"
"","1.1000","9.1683","194.5146","1.5812"
"","1.1200","9.1986","198.1768","1.6115"
"","1.1400","9.2290","201.8380","1.6419"
"","1.1600","9.2586","205.3035","1.6714"
"","1.1800","9.2878","208.7636","1.7006"
"","1.2000","9.3178","212.3837","1.7307"
"","1.2200","9.3480","216.0071","1.7609"
"","1.2400","9.3780","219.5512","1.7908"
"","1.2600","9.4076","223.0215","1.8204"
"","1.2800","9.4373","226.4840","1.8501"
"","1.3000","9.4673","229.9966","1.8801"
"","1.3200","9.4972","233.5016","1.9100"
"","1.3400","9.5277","237.0997","1.9406"
"","1.3600","9.5586","240.6957","1.9714"
"","1.3800","9.5888","244.1960","2.0016"
"","1.4000","9.6186","247.6571","2.0314"
"","1.4200","9.6484","251.1390","2.0612"
"","1.4400","9.6780","254.5974","2.0908"
"","1.4600","9.7077","258.0763","2.1205"
"","1.4800","9.7376","261.5559","2.1505"
"","1.5000","9.7676","265.0289","2.1804"
"","1.5200","9.7980","268.5870","2.2108"
