Results Table 1
,Genotype,Plant Number,Plot Number,Whorl Number (use field-based numbering - top down),Root Sample Number,Vertical Specimen Diameter,Horizontal Specimen Diameter,Specimen Length,Force at Break (Standard),Displacement at Break (Standard),Flexure displacement at Break (Standard),Maximum Force,Flexure displacement at Maximum Force,Maximum Slope (Automatic)
,,,,,,(mm),(mm),(mm),(N),(mm),(mm),(N),(mm),(N/mm)
"1","Mo17","3","450","","","16.21","21.91","300.00","73.64","83.00","29.87","120.84","8.00","36.34"
"2","Mo17","7","450","","","16.70","21.84","300.00","86.46","56.71","29.87","127.81","8.30","37.51"
"3","Mo17","6","450","","","16.27","21.90","300.00","80.23","57.16","29.87","111.58","9.74","33.24"
"4","Mo17","11","450","","","15.08","19.40","300.00","44.21","59.40","29.87","92.66","7.49","29.31"
"5","Mo17","1","450","","","16.30","20.75","300.00","71.35","55.95","29.87","119.28","9.20","31.77"
"6","Mo17","13","450","","","17.86","23.26","300.00","121.84","57.03","29.99","138.04","12.47","36.09"
"7","Mo17","2","450","","","17.01","22.08","300.00","89.93","56.84","29.87","129.71","9.02","39.59"
"8","Mo17","12","450","","","16.85","21.93","300.00","76.07","57.01","29.96","112.97","8.12","35.78"
"9","Mo17","8","450","","","16.18","21.70","300.00","71.92","58.60","29.87","108.51","7.97","34.99"
"10","B73","5","343","","","18.66","22.66","300.00","65.07","55.25","29.87","144.91","7.40","46.44"
"11","B73","2","343","","","21.40","25.51","300.00","104.56","52.78","29.96","201.13","6.92","60.95"
"12","B73","9","343","","","17.94","21.62","300.00","53.48","57.06","29.87","121.02","6.50","40.02"
"13","B73","3","341","","","21.98","24.92","300.00","120.89","53.99","29.93","196.28","9.11","54.47"
"14","B73","4","341","","","22.91","28.80","300.00","73.83","47.81","25.79","223.10","10.61","57.07"
"15","B73","8","341","","","21.45","26.18","300.00","93.56","52.98","30.00","165.40","9.02","47.91"
"16","B73","10","341","","","20.54","25.10","300.00","80.93","53.30","29.87","157.50","8.54","46.83"
"17","CML258","5","230","","","12.77","14.86","300.00","20.79","60.87","29.87","57.22","5.87","17.77"
"18","CML258","3","230","","","21.19","24.57","300.00","112.21","53.25","29.87","242.02","7.82","75.07"
"19","CML258","4","230","","","25.98","29.73","300.00","394.15","46.90","27.98","467.92","8.54","106.75"
"20","CML258","6","232","","","23.18","26.34","300.00","170.12","49.58","29.87","352.57","8.21","102.58"
"21","CML258","2","232","","","13.22","14.55","300.00","24.06","61.13","29.87","65.13","6.08","20.90"
"22","CML258","4","232","","","23.35","28.37","300.00","236.55","50.18","29.87","424.72","9.29","111.90"
"23","CML258","5","232","","","22.25","25.75","300.00","155.82","51.32","29.87","305.16","7.73","81.08"
"24","CML258","7","232","","","21.66","26.00","300.00","161.53","51.72","29.87","287.08","7.82","80.37"
"25","CML258","8","232","","","24.77","29.28","300.00","217.80","49.33","29.87","406.32","8.48","114.14"
"26","CML258","9","232","","","20.50","23.83","300.00","131.65","54.17","29.87","262.18","7.46","77.13"
"27","CML258","2","230","","","26.72","30.76","300.00","334.27","47.53","29.87","501.03","8.15","118.68"
"28","CML258","6","230","","","21.09","24.75","300.00","145.17","52.83","29.87","307.88","8.42","88.93"
"29","Mo17","10","452","","","16.75","21.54","300.00","102.77","55.60","29.87","121.34","9.53","29.40"
"30","Mo17","6","452","","","15.34","20.10","300.00","54.02","59.18","29.87","100.01","8.00","29.19"
"31","Mo17","2","452","","","16.53","21.70","300.00","80.87","57.05","29.87","124.11","10.25","30.68"
"32","Mo17","5","452","","","16.12","21.11","300.00","68.17","57.89","29.87","122.75","9.14","27.15"
"33","Mo17","11","452","","","14.62","18.91","300.00","49.10","59.51","29.87","93.82","8.27","26.86"
"34","Mo17","12","452","","","16.89","20.37","300.00","64.09","57.97","29.87","104.64","8.84","31.07"

1,Time,Displacement,Force,Flexure displacement
,(s),(mm),(N),(mm)
"","0.0000","53.1262","0.2257","0.0000"
"","0.0200","53.1264","0.2372","0.0002"
"","0.0400","53.1310","0.4149","0.0048"
"","0.0600","53.1508","1.0980","0.0246"
"","0.0800","53.1844","2.2635","0.0582"
"","0.1000","53.2188","3.5083","0.0926"
"","0.1200","53.2491","4.6348","0.1229"
"","0.1400","53.2773","5.6997","0.1511"
"","0.1600","53.3052","6.7623","0.1790"
"","0.1800","53.3339","7.8646","0.2077"
"","0.2000","53.3636","9.0122","0.2374"
"","0.2200","53.3934","10.1601","0.2671"
"","0.2400","53.4225","11.2848","0.2963"
"","0.2600","53.4515","12.4025","0.3252"
"","0.2800","53.4810","13.5388","0.3548"
"","0.3000","53.5107","14.6774","0.3845"
"","0.3200","53.5405","15.8143","0.4143"
"","0.3400","53.5702","16.9384","0.4440"
"","0.3600","53.5998","18.0575","0.4736"
"","0.3800","53.6295","19.1804","0.5033"
"","0.4000","53.6597","20.3184","0.5334"
"","0.4200","53.6899","21.4493","0.5636"
"","0.4400","53.7193","22.5444","0.5931"
"","0.4600","53.7487","23.6395","0.6225"
"","0.4800","53.7791","24.7693","0.6529"
"","0.5000","53.8094","25.9001","0.6832"
"","0.5200","53.8392","27.0058","0.7130"
"","0.5400","53.8689","28.1025","0.7426"
"","0.5600","53.8984","29.1897","0.7722"
"","0.5800","53.9281","30.2827","0.8019"
"","0.6000","53.9585","31.4012","0.8323"
"","0.6200","53.9891","32.5072","0.8629"
"","0.6400","54.0190","33.5684","0.8928"
"","0.6600","54.0485","34.6113","0.9223"
"","0.6800","54.0783","35.6685","0.9521"
"","0.7000","54.1086","36.7330","0.9823"
"","0.7200","54.1387","37.7815","1.0124"
"","0.7400","54.1688","38.8286","1.0426"
"","0.7600","54.1987","39.8646","1.0725"
"","0.7800","54.2285","40.8972","1.1023"
"","0.8000","54.2589","41.9387","1.1327"
"","0.8200","54.2891","42.9511","1.1629"
"","0.8400","54.3187","43.9352","1.1925"
"","0.8600","54.3484","44.9281","1.2222"
"","0.8800","54.3786","45.9356","1.2524"
"","0.9000","54.4089","46.9366","1.2827"
"","0.9200","54.4390","47.9187","1.3128"
"","0.9400","54.4690","48.8866","1.3427"
"","0.9600","54.4988","49.8410","1.3726"
"","0.9800","54.5285","50.7835","1.4023"
"","1.0000","54.5582","51.7236","1.4320"
"","1.0200","54.5884","52.6843","1.4622"
"","1.0400","54.6190","53.6473","1.4927"
"","1.0600","54.6492","54.5719","1.5230"
"","1.0800","54.6787","55.4235","1.5525"
"","1.1000","54.7085","56.2856","1.5822"
"","1.1200","54.7389","57.1801","1.6127"
"","1.1400","54.7692","58.0565","1.6430"
"","1.1600","54.7992","58.9098","1.6729"
"","1.1800","54.8288","59.7399","1.7025"
"","1.2000","54.8584","60.5727","1.7322"
"","1.2200","54.8884","61.4093","1.7621"
"","1.2400","54.9185","62.2631","1.7923"
"","1.2600","54.9491","63.1350","1.8229"
"","1.2800","54.9793","63.9803","1.8531"
"","1.3000","55.0090","64.7852","1.8827"
"","1.3200","55.0387","65.5884","1.9125"
"","1.3400","55.0689","66.3889","1.9427"
"","1.3600","55.0991","67.1630","1.9729"
"","1.3800","55.1286","67.8948","2.0024"
"","1.4000","55.1581","68.6187","2.0319"
"","1.4200","55.1882","69.3605","2.0619"
"","1.4400","55.2186","70.0974","2.0924"
"","1.4600","55.2491","70.8021","2.1228"
"","1.4800","55.2792","71.4803","2.1530"
"","1.5000","55.3087","72.1348","2.1825"
"","1.5200","55.3379","72.7904","2.2117"
"","1.5400","55.3680","73.4821","2.2418"
"","1.5600","55.3982","74.1614","2.2720"
"","1.5800","55.4284","74.8041","2.3022"
"","1.6000","55.4586","75.4426","2.3324"
"","1.6200","55.4886","76.0734","2.3624"
"","1.6400","55.5184","76.6995","2.3922"
