"Date","Daily DD","Cumulative"
"05/20/2021","17","17"
"05/21/2021","15","32"
"05/22/2021","25","57"
"05/23/2021","32","89"
"05/24/2021","17","106"
"05/25/2021","15","121"
"05/26/2021","25","146"
"05/27/2021","23","168"
"05/28/2021","10","178"
"05/29/2021","0","179"
"05/30/2021","0","179"
"05/31/2021","11","189"
"06/01/2021","13","203"
"06/02/2021","17","220"
"06/03/2021","21","240"
"06/04/2021","23","264"
"06/05/2021","27","291"
"06/06/2021","29","320"
"06/07/2021","30","350"
"06/08/2021","30","380"
"06/09/2021","28","408"
"06/10/2021","25","433"
"06/11/2021","15","448"
"06/12/2021","20","467"
"06/13/2021","19","487"
"06/14/2021","25","511"
"06/15/2021","22","533"
"06/16/2021","18","551"
"06/17/2021","15","566"
"06/18/2021","17","583"
"06/19/2021","27","611"
"06/20/2021","26","637"
"06/21/2021","29","666"
"06/22/2021","16","682"
"06/23/2021","13","694"
"06/24/2021","14","708"
"06/25/2021","16","725"
"06/26/2021","26","751"
"06/27/2021","30","781"
"06/28/2021","32","813"
"06/29/2021","33","845"
"06/30/2021","33","878"
"07/01/2021","27","905"
"07/02/2021","23","928"
"07/03/2021","18","945"
"07/04/2021","20","966"
"07/05/2021","23","989"
"07/06/2021","31","1020"
"07/07/2021","33","1052"
"07/08/2021","29","1082"
"07/09/2021","28","1110"
"07/10/2021","24","1133"
"07/11/2021","26","1159"
"07/12/2021","32","1191"
"07/13/2021","32","1223"
"07/14/2021","32","1255"
"07/15/2021","30","1285"
"07/16/2021","32","1318"
"07/17/2021","32","1349"
"07/18/2021","23","1373"
"07/19/2021","27","1400"
"07/20/2021","27","1427"
"07/21/2021","26","1453"
"07/22/2021","22","1475"
"07/23/2021","21","1496"
"07/24/2021","23","1519"
"07/25/2021","29","1548"
"07/26/2021","29","1577"
"07/27/2021","28","1605"
"07/28/2021","26","1631"
"07/29/2021","25","1656"
"07/30/2021","26","1682"
"07/31/2021","19","1701"
"08/01/2021","18","1719"
"08/02/2021","19","1737"
"08/03/2021","19","1756"
"08/04/2021","18","1775"
"08/05/2021","21","1796"
"08/06/2021","24","1820"
"08/07/2021","23","1843"
"08/08/2021","25","1868"
"08/09/2021","26","1893"
"08/10/2021","30","1924"
"08/11/2021","31","1955"
"08/12/2021","33","1988"
"08/13/2021","34","2022"
"08/14/2021","30","2052"
"08/15/2021","27","2079"
"08/16/2021","27","2106"
"08/17/2021","26","2132"
"08/18/2021","30","2161"
"08/19/2021","32","2193"
"08/20/2021","27","2221"
"08/21/2021","26","2246"
"08/22/2021","25","2271"
"08/23/2021","29","2301"
"08/24/2021","30","2330"
"08/25/2021","29","2360"
"08/26/2021","31","2391"
"08/27/2021","32","2423"
"08/28/2021","23","2446"
"08/29/2021","23","2469"
"08/30/2021","28","2497"
"08/31/2021","26","2524"
"09/01/2021","21","2545"
"09/02/2021","17","2562"
"09/03/2021","13","2575"
"09/04/2021","16","2591"
"09/05/2021","16","2607"
"09/06/2021","23","2630"
"09/07/2021","19","2649"
"09/08/2021","24","2673"
"09/09/2021","19","2692"
"09/10/2021","17","2708"
"09/11/2021","15","2723"
"09/12/2021","21","2744"
"09/13/2021","27","2771"
"09/14/2021","26","2797"
"09/15/2021","26","2824"
"09/16/2021","23","2847"
"09/17/2021","24","2871"
"09/18/2021","26","2897"
"09/19/2021","18","2915"
"09/20/2021","14","2929"
"09/21/2021","18","2947"
"09/22/2021","24","2972"
"09/23/2021","18","2990"
"09/24/2021","11","3001"
"09/25/2021","12","3013"
"09/26/2021","13","3026"
"09/27/2021","15","3041"
"09/28/2021","17","3059"
