"Date","Daily DD","Cumulative"
"05/17/2023","9","9"
"05/18/2023","2","11"
"05/19/2023","9","20"
"05/20/2023","13","33"
"05/21/2023","16","49"
"05/22/2023","14","63"
"05/23/2023","12","75"
"05/24/2023","13","87"
"05/25/2023","10","98"
"05/26/2023","9","106"
"05/27/2023","11","117"
"05/28/2023","11","128"
"05/29/2023","17","144"
"05/30/2023","14","159"
"05/31/2023","11","170"
"06/01/2023","19","188"
"06/02/2023","24","212"
"06/03/2023","17","229"
"06/04/2023","13","242"
"06/05/2023","12","254"
"06/06/2023","14","268"
"06/07/2023","13","280"
"06/08/2023","11","291"
"06/09/2023","12","303"
"06/10/2023","17","320"
"06/11/2023","21","341"
"06/12/2023","20","361"
"06/13/2023","16","377"
"06/14/2023","16","393"
"06/15/2023","17","410"
"06/16/2023","15","425"
"06/17/2023","19","444"
"06/18/2023","18","462"
"06/19/2023","19","481"
"06/20/2023","20","501"
"06/21/2023","12","513"
"06/22/2023","13","526"
"06/23/2023","17","543"
"06/24/2023","24","567"
"06/25/2023","26","592"
"06/26/2023","25","617"
"06/27/2023","23","640"
"06/28/2023","21","660"
"06/29/2023","21","681"
"06/30/2023","21","702"
"07/01/2023","22","724"
"07/02/2023","28","752"
"07/03/2023","29","780"
"07/04/2023","27","807"
"07/05/2023","32","839"
"07/06/2023","29","868"
"07/07/2023","28","897"
"07/08/2023","30","926"
"07/09/2023","25","951"
"07/10/2023","25","976"
"07/11/2023","25","1001"
"07/12/2023","27","1029"
"07/13/2023","29","1057"
"07/14/2023","32","1089"
"07/15/2023","29","1118"
"07/16/2023","26","1144"
"07/17/2023","28","1173"
"07/18/2023","28","1200"
"07/19/2023","26","1226"
"07/20/2023","25","1251"
"07/21/2023","24","1275"
"07/22/2023","23","1298"
"07/23/2023","25","1322"
"07/24/2023","25","1348"
"07/25/2023","25","1372"
"07/26/2023","25","1397"
"07/27/2023","32","1429"
"07/28/2023","32","1461"
"07/29/2023","31","1492"
"07/30/2023","22","1514"
"07/31/2023","22","1536"
"08/01/2023","20","1556"
"08/02/2023","19","1574"
"08/03/2023","20","1594"
"08/04/2023","21","1615"
"08/05/2023","25","1640"
"08/06/2023","25","1665"
"08/07/2023","26","1691"
"08/08/2023","24","1715"
"08/09/2023","24","1739"
"08/10/2023","23","1762"
"08/11/2023","25","1787"
"08/12/2023","26","1814"
"08/13/2023","27","1841"
"08/14/2023","26","1867"
"08/15/2023","31","1898"
"08/16/2023","26","1924"
"08/17/2023","25","1949"
"08/18/2023","22","1971"
"08/19/2023","19","1990"
"08/20/2023","20","2010"
"08/21/2023","27","2037"
"08/22/2023","20","2056"
"08/23/2023","17","2073"
"08/24/2023","22","2095"
"08/25/2023","27","2122"
"08/26/2023","27","2150"
"08/27/2023","25","2174"
"08/28/2023","22","2196"
"08/29/2023","24","2220"
"08/30/2023","26","2246"
"08/31/2023","20","2266"
"09/01/2023","17","2284"
"09/02/2023","16","2299"
"09/03/2023","26","2326"
"09/04/2023","31","2357"
"09/05/2023","33","2390"
"09/06/2023","32","2422"
"09/07/2023","32","2453"
"09/08/2023","30","2484"
"09/09/2023","27","2510"
"09/10/2023","23","2534"
"09/11/2023","24","2558"
"09/12/2023","23","2581"
"09/13/2023","23","2604"
"09/14/2023","19","2624"
"09/15/2023","14","2638"
"09/16/2023","16","2654"
"09/17/2023","13","2667"
"09/18/2023","17","2683"
"09/19/2023","15","2698"
"09/20/2023","13","2711"
"09/21/2023","14","2725"
"09/22/2023","12","2736"
"09/23/2023","10","2746"
"09/24/2023","16","2762"
"09/25/2023","12","2774"
"09/26/2023","9","2783"
"09/27/2023","8","2791"
"09/28/2023","7","2797"
